,Rank,Release Date,Movie Title,Production Budget ($),Worldwide Gross ($),Domestic Gross ($)
281,4115,6/20/1980,The Blue Lagoon,4500000,47923795,"$47,923,795"
282,2805,7/3/1980,Coal Miner's Daughter,15000000,67182787,"$67,182,787"
283,3836,7/25/1980,Caddyshack,6000000,39846344,"$39,846,344"
284,5044,9/5/1980,Friday the 13th,550000,59754601,"$39,754,601"
285,3833,9/19/1980,Ordinary People,6000000,52302978,"$52,302,978"
286,5301,10/5/1980,Penitentiary,100000,287000,"$287,000"
287,2804,10/10/1980,Private Benjamin,15000000,69847348,"$69,847,348"
288,2600,11/14/1980,Raging Bull,18000000,23380203,"$23,380,203"
289,1238,11/19/1980,Heaven's Gate,44000000,3484523,"$3,484,331"
290,2340,12/12/1980,Popeye,20000000,49823037,"$49,823,037"
291,2707,1/1/1981,Roar,17000000,2110050,"$2,110,050"
292,5185,1/5/1981,Graduation Day,250000,23894000,"$23,894,000"
293,3177,3/20/1981,The Postman Always Rings Twice,12000000,44200000,"$12,200,000"
294,1642,4/12/1981,Reds,33500000,50000000,"$50,000,000"
295,4784,4/30/1981,Friday the 13th Part 2,1250000,21722776,"$21,722,776"
296,2617,5/22/1981,The Legend of the Lone Ranger,18000000,13400000,"$13,400,000"
297,3804,5/22/1981,The Four Seasons,6500000,42488161,"$42,488,161"
298,3143,6/11/1981,Time Bandits,12000000,37400000,"$37,400,000"
299,969,6/19/1981,Superman II,54000000,108185706,"$108,185,706"
300,1896,6/26/1981,For Your Eyes Only,28000000,195300000,"$54,800,000"
301,2625,6/26/1981,Dragonslayer,18000000,6000000,"$6,000,000"
302,3306,6/26/1981,Stripes,10000000,85300000,"$85,300,000"
303,3504,7/8/1981,Heavy Metal,9300000,19571091,"$19,571,091"
304,2615,7/24/1981,Blow Out,18000000,13747234,"$13,747,234"
305,2409,7/31/1981,Under the Rainbow,20000000,18826490,"$18,826,490"
306,4370,8/28/1981,Gallipoli,3000000,5732587,"$5,732,587"
307,2971,9/12/1981,Taps,14000000,35856053,"$35,856,053"
308,3992,9/18/1981,Mommie Dearest,5000000,25032000,"$19,032,000"
309,3922,9/25/1981,Chariots of Fire,5500000,57467731,"$57,159,946"
310,4001,10/4/1981,Nighthawks,5000000,19600000,"$14,600,000"
311,4848,10/4/1981,The Howling,1000000,17985000,"$17,985,000"
312,3840,10/7/1981,Escape from New York,6000000,25244700,"$25,244,700"
313,4474,10/30/1981,Halloween II,2500000,25533818,"$25,533,818"
314,3427,11/2/1981,Sphinx,10000000,11400000,"$2,000,000"
315,3201,11/13/1981,The Pursuit of D.B. Cooper,12000000,2104164,"$2,104,164"
316,2306,12/6/1981,Raiders of the Lost Ark,20000000,389925971,"$248,159,971"
317,2843,12/6/1981,Clash of the Titans,15000000,44400000,"$30,000,000"
318,3256,12/6/1981,History of the World: Part I,11000000,31672000,"$31,672,000"
319,3409,12/18/1981,Heartbeeps,10000000,6000000,"$6,000,000"
320,3612,12/25/1981,Modern Problems,8000000,24474312,"$24,474,312"
321,3024,1/29/1982,The Border,13500000,6118683,"$6,118,683"
322,3105,2/4/1982,Cat People,12500000,21000000,"$7,000,000"
323,4011,2/4/1982,Diner,5000000,12592907,"$12,592,907"
324,3988,3/11/1982,The Man From Snowy River,5000000,20659423,"$20,659,423"
325,4161,3/19/1982,Porky's,4000000,109492484,"$109,492,484"
326,3127,4/6/1982,Star Trek II: The Wrath of Khan,12000000,95800000,"$78,912,963"
327,3290,4/6/1982,Poltergeist,10700000,121706019,"$74,706,019"
328,2355,5/14/1982,Conan the Barbarian,20000000,79114085,"$38,264,085"
329,4544,5/21/1982,Mad Max 2: The Road Warrior,2000000,24600832,"$24,600,832"
330,2286,6/18/1982,Firefox,21000000,45785720,"$45,785,720"
331,1908,6/25/1982,Blade Runner,28000000,33139618,"$32,656,328"
332,2629,6/25/1982,Megaforce,18000000,5675599,"$5,675,599"
333,2304,7/23/1982,The Best Little Whorehouse in Texas,20500000,69701637,"$69,701,637"
334,2240,8/12/1982,Gandhi,22000000,127767889,"$52,767,889"
335,2728,8/12/1982,The Verdict,16000000,53977250,"$53,977,250"
336,4116,8/13/1982,Fast Times at Ridgemont High,4500000,27092880,"$27,092,880"
337,4525,8/13/1982,Friday the 13th Part 3,2250000,36690067,"$36,690,067"
338,4017,8/20/1982,The Beastmaster,5000000,10751126,"$10,751,126"
339,4318,8/20/1982,Class of 1984,3250000,6965361,"$6,965,361"
